Persubj,Perpart,Period,Subject,MyPartner,Agent,Theta,Applet,Inv,InvOther,Disclose,DiscOther,TypeOther,ThetaOther,ProbType,ProbBarrel,Outcome,Retain,myRetention,Session,TMT
P12-s12,P12-s10,12,12,10,1,0,0,0,2,2,2,0,1,0,0,0,0,0,7,Computer
P12-s13,P12-s4,12,13,4,1,1,1,0,2,1,1,0,0,0,0,0,0,1,7,Computer
P12-s14,P12-s5,12,14,5,1,1,0,0,2,1,2,0,0,0,0,0,0,0,7,Computer
P12-s15,P12-s7,12,15,7,1,0,0,0,2,2,1,0,0,0,0,0,0,1,7,Computer
P12-s16,P12-s11,12,16,11,1,1,1,0,2,2,2,0,0,0,0,0,0,1,7,Computer
P12-s17,P12-s1,12,17,1,1,0,0,0,2,2,1,0,0,0,0,0,0,1,7,Computer
P12-s18,P12-s8,12,18,8,1,1,0,0,2,2,1,0,0,0,0,0,0,0,7,Computer
P12-s19,P12-s2,12,19,2,1,1,1,0,1,1,2,1,1,0,0,0,0,1,7,Computer
P12-s20,P12-s3,12,20,3,1,0,0,0,1,1,1,0,1,0,0,0,0,0,7,Computer
P12-s21,P12-s9,12,21,9,1,0,0,0,2,2,2,0,0,0,0,0,0,0,7,Computer
P12-s22,P12-s6,12,22,6,1,1,1,0,2,2,1,0,0,0,0,0,0,1,7,Computer
P13-s1,P13-s18,13,1,18,1,1,1,0,2,1,1,0,0,0,0,0,0,1,7,Computer
P13-s2,P13-s14,13,2,14,1,1,1,0,2,1,2,0,0,0,0,0,0,1,7,Computer
P13-s3,P13-s19,13,3,19,1,0,1,0,2,1,2,0,1,0,0,0,0,1,7,Computer
P13-s4,P13-s16,13,4,16,1,1,1,0,2,2,2,0,1,0,0,0,0,1,7,Computer
P13-s5,P13-s22,13,5,22,1,1,0,0,2,2,2,0,0,0,0,0,0,0,7,Computer
P13-s6,P13-s13,13,6,13,1,1,0,0,2,2,1,0,1,0,0,0,0,0,7,Computer
P13-s7,P13-s17,13,7,17,1,1,0,0,2,2,1,0,0,0,0,0,0,1,7,Computer
P13-s8,P13-s15,13,8,15,1,1,1,0,1,1,1,1,1,0,0,0,0,1,7,Computer
P13-s9,P13-s21,13,9,21,1,0,0,0,2,1,2,0,0,0,0,0,0,0,7,Computer
P13-s10,P13-s20,13,10,20,1,1,0,0,2,2,2,0,1,0,0,0,0,0,7,Computer
P13-s11,P13-s12,13,11,12,1,0,1,0,2,2,1,0,0,0,0,0,0,1,7,Computer
P13-s12,P13-s11,13,12,11,0,0,0,2,0,1,2,1,0,0.8,0.2,1,1,0,7,Computer
P13-s13,P13-s6,13,13,6,0,1,0,2,0,1,2,0,1,0.8,0.2,1,0,0,7,Computer
P13-s14,P13-s2,13,14,2,0,0,0,2,0,2,1,1,1,0.4,0.4,2,1,0,7,Computer
P13-s15,P13-s8,13,15,8,0,1,1,1,0,1,1,1,1,0.1,0.2,3,1,0,7,Computer
P13-s16,P13-s4,13,16,4,0,1,0,2,0,2,2,1,1,0.8,0.2,1,1,0,7,Computer
P13-s17,P13-s7,13,17,7,0,0,0,2,0,1,2,0,1,0.8,0.2,2,1,0,7,Computer
P13-s18,P13-s1,13,18,1,0,0,0,2,0,1,1,1,1,0.4,0.4,3,1,0,7,Computer
P13-s19,P13-s3,13,19,3,0,1,0,2,0,2,1,1,0,0.4,0.4,1,1,0,7,Computer
P13-s20,P13-s10,13,20,10,0,1,0,2,0,2,2,0,1,0.8,0.2,1,0,0,7,Computer
P13-s21,P13-s9,13,21,9,0,0,0,2,0,2,1,0,0,0.4,0.4,1,0,0,7,Computer
P13-s22,P13-s5,13,22,5,0,0,0,2,0,2,2,0,1,0.8,0.2,1,0,0,7,Computer
P14-s1,P14-s17,14,1,17,0,0,0,2,0,2,2,1,1,0.8,0.2,1,1,0,7,Computer
P14-s2,P14-s12,14,2,12,0,0,0,1,0,2,1,0,1,0.1,0.2,3,1,0,7,Computer
P14-s3,P14-s16,14,3,16,0,1,0,2,0,1,2,1,1,0.8,0.2,1,1,0,7,Computer
P14-s4,P14-s21,14,4,21,0,0,0,2,0,2,1,0,0,0.4,0.4,2,0,0,7,Computer
P14-s5,P14-s20,14,5,20,0,0,1,2,0,2,2,0,0,0.8,0.2,1,0,0,7,Computer
P14-s6,P14-s14,14,6,14,0,0,0,2,0,2,1,0,1,0.4,0.4,1,0,0,7,Computer
P14-s7,P14-s18,14,7,18,0,1,0,1,0,2,1,1,1,0.1,0.2,3,1,0,7,Computer
P14-s8,P14-s22,14,8,22,0,1,0,2,0,2,1,0,1,0.4,0.4,3,0,0,7,Computer
P14-s9,P14-s13,14,9,13,0,0,0,2,0,1,2,0,0,0.8,0.2,1,0,0,7,Computer
P14-s10,P14-s15,14,10,15,0,1,1,2,0,2,1,1,1,0.4,0.4,1,1,0,7,Computer
P14-s11,P14-s19,14,11,19,0,0,0,2,0,2,2,0,0,0.8,0.2,1,0,0,7,Computer
P14-s12,P14-s2,14,12,2,1,1,0,0,1,1,2,0,0,0,0,0,0,1,7,Computer
P14-s13,P14-s9,14,13,9,1,0,0,0,2,2,1,0,0,0,0,0,0,0,7,Computer
P14-s14,P14-s6,14,14,6,1,1,0,0,2,1,2,0,0,0,0,0,0,0,7,Computer
P14-s15,P14-s10,14,15,10,1,1,1,0,2,1,2,1,1,0,0,0,0,1,7,Computer
P14-s16,P14-s3,14,16,3,1,1,1,0,2,2,1,0,1,0,0,0,0,1,7,Computer
P14-s17,P14-s1,14,17,1,1,1,1,0,2,2,2,0,0,0,0,0,0,1,7,Computer
P14-s18,P14-s7,14,18,7,1,1,1,0,1,1,2,0,1,0,0,0,0,1,7,Computer
P14-s19,P14-s11,14,19,11,1,0,0,0,2,2,2,0,0,0,0,0,0,0,7,Computer
P14-s20,P14-s5,14,20,5,1,0,0,0,2,2,2,1,0,0,0,0,0,0,7,Computer
P14-s21,P14-s4,14,21,4,1,0,0,0,2,1,2,0,0,0,0,0,0,0,7,Computer
P14-s22,P14-s8,14,22,8,1,1,0,0,2,1,2,0,1,0,0,0,0,0,7,Computer
P15-s1,P15-s15,15,1,15,1,1,1,0,2,1,2,0,1,0,0,0,0,1,7,Computer
P15-s2,P15-s22,15,2,22,1,0,0,0,1,2,1,0,1,0,0,0,0,1,7,Computer
P15-s3,P15-s13,15,3,13,1,0,0,0,1,1,1,0,0,0,0,0,0,1,7,Computer
P15-s4,P15-s16,15,4,16,1,1,1,0,2,2,1,1,1,0,0,0,0,1,7,Computer
P15-s5,P15-s19,15,5,19,1,0,0,0,2,2,1,1,1,0,0,0,0,0,7,Computer
P15-s6,P15-s12,15,6,12,1,0,0,0,2,1,1,0,1,0,0,0,0,0,7,Computer
P15-s7,P15-s21,15,7,21,1,0,0,0,2,2,2,0,0,0,0,0,0,1,7,Computer
P15-s8,P15-s20,15,8,20,1,1,1,0,2,2,2,0,1,0,0,0,0,1,7,Computer
P15-s9,P15-s14,15,9,14,1,0,0,0,2,2,1,1,1,0,0,0,0,0,7,Computer
P15-s10,P15-s17,15,10,17,1,0,0,0,2,1,1,0,1,0,0,0,0,0,7,Computer
P15-s11,P15-s18,15,11,18,1,1,1,0,2,2,2,1,1,0,0,0,0,1,7,Computer
P15-s12,P15-s6,15,12,6,0,1,0,2,0,1,1,0,0,0.4,0.4,1,0,0,7,Computer
P15-s13,P15-s3,15,13,3,0,0,0,1,0,1,1,0,0,0.1,0.2,3,1,0,7,Computer
P15-s14,P15-s9,15,14,9,0,1,1,2,0,1,2,0,0,0.8,0.2,1,0,0,7,Computer
P15-s15,P15-s1,15,15,1,0,1,0,2,0,2,1,1,1,0.4,0.4,1,1,0,7,Computer
P15-s16,P15-s4,15,16,4,0,1,1,2,0,1,2,1,1,0.8,0.2,1,1,0,7,Computer
P15-s17,P15-s10,15,17,10,0,1,0,2,0,1,1,0,0,0.4,0.4,3,0,0,7,Computer
P15-s18,P15-s11,15,18,11,0,1,1,2,0,2,2,1,1,0.8,0.2,2,1,0,7,Computer
P15-s19,P15-s5,15,19,5,0,1,1,2,0,1,2,0,0,0.8,0.2,1,0,0,7,Computer
P15-s20,P15-s8,15,20,8,0,1,0,2,0,2,2,1,1,0.8,0.2,1,1,0,7,Computer
P15-s21,P15-s7,15,21,7,0,0,0,2,0,2,2,0,0,0.8,0.2,1,1,0,7,Computer
P15-s22,P15-s2,15,22,2,0,1,0,1,0,1,2,0,0,0.2,0.3,3,1,0,7,Computer
P16-s1,P16-s14,16,1,14,0,1,1,2,0,2,1,1,1,0.4,0.4,1,1,0,7,Computer
P16-s2,P16-s13,16,2,13,0,1,1,1,0,2,1,0,0,0.1,0.2,3,1,0,7,Computer
P16-s3,P16-s18,16,3,18,0,0,0,1,0,2,2,1,1,0.2,0.3,2,1,0,7,Computer
P16-s4,P16-s19,16,4,19,0,0,0,2,0,2,2,1,1,0.8,0.2,1,1,0,7,Computer
P16-s5,P16-s12,16,5,12,0,0,0,2,0,1,1,0,0,0.4,0.4,3,0,0,7,Computer
P16-s6,P16-s15,16,6,15,0,1,1,2,0,1,2,0,1,0.8,0.2,1,0,0,7,Computer
P16-s7,P16-s17,16,7,17,0,1,0,1,0,1,1,0,1,0.1,0.2,1,1,0,7,Computer
P16-s8,P16-s16,16,8,16,0,1,0,2,0,2,1,1,1,0.4,0.4,3,0,0,7,Computer
P16-s9,P16-s22,16,9,22,0,1,1,2,0,1,1,0,0,0.4,0.4,1,0,0,7,Computer
P16-s10,P16-s20,16,10,20,0,1,0,2,0,2,1,0,0,0.4,0.4,3,1,0,7,Computer
P16-s11,P16-s21,16,11,21,0,0,0,2,0,1,2,0,0,0.8,0.2,1,0,0,7,Computer
P16-s12,P16-s5,16,12,5,1,0,0,0,2,1,1,0,0,0,0,0,0,0,7,Computer
P16-s13,P16-s2,16,13,2,1,0,0,0,1,1,2,1,1,0,0,0,0,1,7,Computer
P16-s14,P16-s1,16,14,1,1,1,1,0,2,1,2,1,1,0,0,0,0,1,7,Computer
P16-s15,P16-s6,16,15,6,1,1,0,0,2,2,1,1,1,0,0,0,0,0,7,Computer
P16-s16,P16-s8,16,16,8,1,1,1,0,2,1,2,0,1,0,0,0,0,0,7,Computer
P16-s17,P16-s7,16,17,7,1,1,0,0,1,1,1,0,1,0,0,0,0,1,7,Computer
P16-s18,P16-s3,16,18,3,1,1,1,0,1,2,2,0,0,0,0,0,0,1,7,Computer
P16-s19,P16-s4,16,19,4,1,1,1,0,2,2,2,0,0,0,0,0,0,1,7,Computer
P16-s20,P16-s10,16,20,10,1,0,0,0,2,1,2,0,1,0,0,0,0,1,7,Computer
P16-s21,P16-s11,16,21,11,1,0,0,0,2,2,1,0,0,0,0,0,0,0,7,Computer
P16-s22,P16-s9,16,22,9,1,0,0,0,2,1,1,1,1,0,0,0,0,0,7,Computer
P17-s1,P17-s16,17,1,16,1,0,0,0,2,2,2,1,1,0,0,0,0,0,7,Computer
P17-s2,P17-s12,17,2,12,1,1,1,0,2,1,2,1,1,0,0,0,0,1,7,Computer
P17-s3,P17-s21,17,3,21,1,1,1,0,2,2,1,0,0,0,0,0,0,1,7,Computer
P17-s4,P17-s13,17,4,13,1,0,0,0,2,1,2,0,0,0,0,0,0,0,7,Computer
P17-s5,P17-s22,17,5,22,1,0,0,0,2,1,1,0,0,0,0,0,0,1,7,Computer
P17-s6,P17-s14,17,6,14,1,0,0,0,2,1,2,0,0,0,0,0,0,0,7,Computer
P17-s7,P17-s20,17,7,20,1,1,0,0,2,2,1,1,1,0,0,0,0,0,7,Computer
P17-s8,P17-s19,17,8,19,1,1,1,0,2,1,1,1,1,0,0,0,0,1,7,Computer
P17-s9,P17-s18,17,9,18,1,0,0,0,2,1,2,0,1,0,0,0,0,0,7,Computer
P17-s10,P17-s15,17,10,15,1,1,1,0,2,1,2,0,0,0,0,0,0,1,7,Computer
P17-s11,P17-s17,17,11,17,1,1,1,0,2,1,1,1,1,0,0,0,0,1,7,Computer
P17-s12,P17-s2,17,12,2,0,1,1,2,0,2,1,1,1,0.4,0.4,2,1,0,7,Computer
P17-s13,P17-s4,17,13,4,0,0,0,2,0,2,1,0,0,0.4,0.4,2,0,0,7,Computer
P17-s14,P17-s6,17,14,6,0,0,0,2,0,2,1,0,0,0.4,0.4,1,0,0,7,Computer
P17-s15,P17-s10,17,15,10,0,0,0,2,0,2,1,1,1,0.4,0.4,1,1,0,7,Computer
P17-s16,P17-s1,17,16,1,0,1,1,2,0,2,2,0,0,0.8,0.2,2,0,0,7,Computer
P17-s17,P17-s11,17,17,11,0,1,1,2,0,1,1,1,1,0.4,0.4,1,1,0,7,Computer
P17-s18,P17-s9,17,18,9,0,1,0,2,0,2,1,0,0,0.4,0.4,1,0,0,7,Computer
P17-s19,P17-s8,17,19,8,0,1,1,2,0,1,1,1,1,0.4,0.4,3,1,0,7,Computer
P17-s20,P17-s7,17,20,7,0,1,1,2,0,1,2,0,1,0.8,0.2,1,0,0,7,Computer
P17-s21,P17-s3,17,21,3,0,0,0,2,0,1,2,1,1,0.8,0.2,1,1,0,7,Computer
P17-s22,P17-s5,17,22,5,0,0,0,2,0,1,1,0,0,0.4,0.4,3,1,0,7,Computer
P18-s1,P18-s22,18,1,22,0,1,1,2,0,2,2,0,0,0.8,0.2,1,0,0,7,Computer
P18-s2,P18-s13,18,2,13,0,0,0,1,0,1,2,0,0,0.2,0.3,3,1,0,7,Computer
P18-s3,P18-s21,18,3,21,0,0,0,2,0,1,1,0,0,0.4,0.4,3,1,0,7,Computer
P18-s4,P18-s12,18,4,12,0,0,0,2,0,1,1,1,1,0.4,0.4,2,1,0,7,Computer
P18-s5,P18-s14,18,5,14,0,0,0,2,0,2,2,0,0,0.8,0.2,1,0,0,7,Computer
P18-s6,P18-s15,18,6,15,0,0,0,2,0,2,1,0,0,0.4,0.4,3,1,0,7,Computer
P18-s7,P18-s20,18,7,20,0,0,0,2,0,2,1,0,0,0.4,0.4,3,1,0,7,Computer
P18-s8,P18-s18,18,8,18,0,1,0,2,0,1,2,0,0,0.8,0.2,2,0,0,7,Computer
P18-s9,P18-s16,18,9,16,0,1,0,2,0,2,1,0,1,0.4,0.4,2,1,0,7,Computer
P18-s10,P18-s19,18,10,19,0,0,0,1,0,1,2,0,0,0.2,0.3,2,0,0,7,Computer
P18-s11,P18-s17,18,11,17,0,1,1,2,0,1,1,0,0,0.4,0.4,2,0,0,7,Computer
P18-s12,P18-s4,18,12,4,1,1,1,0,2,1,1,0,0,0,0,0,0,1,7,Computer
P18-s13,P18-s2,18,13,2,1,0,0,0,1,2,1,0,0,0,0,0,0,1,7,Computer
P18-s14,P18-s5,18,14,5,1,0,0,0,2,2,2,0,0,0,0,0,0,0,7,Computer
P18-s15,P18-s6,18,15,6,1,0,0,0,2,1,2,0,0,0,0,0,0,1,7,Computer
P18-s16,P18-s9,18,16,9,1,1,0,0,2,1,2,0,1,0,0,0,0,1,7,Computer
P18-s17,P18-s11,18,17,11,1,0,0,0,2,1,1,1,1,0,0,0,0,0,7,Computer
P18-s18,P18-s8,18,18,8,1,0,0,0,2,2,1,0,1,0,0,0,0,0,7,Computer
P18-s19,P18-s10,18,19,10,1,0,0,0,1,2,1,0,0,0,0,0,0,0,7,Computer
P18-s20,P18-s7,18,20,7,1,0,0,0,2,1,2,0,0,0,0,0,0,1,7,Computer
P18-s21,P18-s3,18,21,3,1,0,0,0,2,1,1,0,0,0,0,0,0,1,7,Computer
P18-s22,P18-s1,18,22,1,1,0,0,0,2,2,2,1,1,0,0,0,0,0,7,Computer
P19-s1,P19-s19,19,1,19,1,1,0,0,2,1,2,0,0,0,0,0,0,0,7,Computer
P19-s2,P19-s17,19,2,17,1,0,0,0,2,1,1,0,0,0,0,0,0,0,7,Computer
P19-s3,P19-s13,19,3,13,1,0,0,0,2,2,1,0,0,0,0,0,0,0,7,Computer
P19-s4,P19-s22,19,4,22,1,0,0,0,2,1,2,0,1,0,0,0,0,0,7,Computer
P19-s5,P19-s16,19,5,16,1,0,0,0,2,1,2,0,0,0,0,0,0,0,7,Computer
P19-s6,P19-s15,19,6,15,1,0,1,0,1,2,2,0,0,0,0,0,0,1,7,Computer
P19-s7,P19-s12,19,7,12,1,1,1,0,2,1,2,0,1,0,0,0,0,1,7,Computer
P19-s8,P19-s14,19,8,14,1,1,1,0,2,1,1,0,1,0,0,0,0,1,7,Computer
P19-s9,P19-s18,19,9,18,1,1,0,0,2,2,1,1,0,0,0,0,0,0,7,Computer
P19-s10,P19-s20,19,10,20,1,0,0,0,2,2,2,1,1,0,0,0,0,0,7,Computer
P19-s11,P19-s21,19,11,21,1,1,0,0,2,2,2,0,0,0,0,0,0,1,7,Computer
P19-s12,P19-s7,19,12,7,0,1,0,2,0,2,1,1,1,0.4,0.4,2,1,0,7,Computer
P19-s13,P19-s3,19,13,3,0,0,0,2,0,1,2,0,0,0.8,0.2,1,0,0,7,Computer
P19-s14,P19-s8,19,14,8,0,1,0,2,0,1,1,1,1,0.4,0.4,2,1,0,7,Computer
P19-s15,P19-s6,19,15,6,0,0,0,1,0,2,2,1,0,0.2,0.3,3,1,0,7,Computer
P19-s16,P19-s5,19,16,5,0,0,0,2,0,2,1,0,0,0.4,0.4,2,0,0,7,Computer
P19-s17,P19-s2,19,17,2,0,0,0,2,0,1,1,0,0,0.4,0.4,1,0,0,7,Computer
P19-s18,P19-s9,19,18,9,0,0,1,2,0,1,2,0,1,0.8,0.2,1,0,0,7,Computer
P19-s19,P19-s1,19,19,1,0,0,0,2,0,2,1,0,1,0.4,0.4,1,0,0,7,Computer
P19-s20,P19-s10,19,20,10,0,1,1,2,0,2,2,0,0,0.8,0.2,1,0,0,7,Computer
P19-s21,P19-s11,19,21,11,0,0,0,2,0,2,2,0,1,0.8,0.2,1,1,0,7,Computer
P19-s22,P19-s4,19,22,4,0,1,0,2,0,2,1,0,0,0.4,0.4,2,0,0,7,Computer
P20-s1,P20-s22,20,1,22,0,0,0,2,0,1,1,0,1,0.4,0.4,3,1,0,7,Computer
P20-s2,P20-s21,20,2,21,0,0,0,2,0,2,2,0,0,0.8,0.2,1,0,0,7,Computer
P20-s3,P20-s20,20,3,20,0,0,0,2,0,2,1,0,0,0.4,0.4,1,0,0,7,Computer
P20-s4,P20-s15,20,4,15,0,1,1,2,0,2,2,0,1,0.8,0.2,2,1,0,7,Computer
P20-s5,P20-s18,20,5,18,0,1,0,2,0,1,2,0,1,0.8,0.2,1,0,0,7,Computer
P20-s6,P20-s17,20,6,17,0,1,0,2,0,2,2,1,1,0.8,0.2,1,1,0,7,Computer
P20-s7,P20-s19,20,7,19,0,1,1,1,0,1,2,1,1,0.2,0.3,2,1,0,7,Computer
P20-s8,P20-s12,20,8,12,0,1,0,2,0,1,1,0,1,0.4,0.4,1,0,0,7,Computer
P20-s9,P20-s14,20,9,14,0,1,0,2,0,1,1,1,1,0.4,0.4,2,1,0,7,Computer
P20-s10,P20-s16,20,10,16,0,1,1,1,0,1,2,0,0,0.2,0.3,1,0,0,7,Computer
P20-s11,P20-s13,20,11,13,0,1,1,1,0,1,1,1,1,0.1,0.2,2,1,0,7,Computer
P20-s12,P20-s8,20,12,8,1,1,0,0,2,1,1,0,1,0,0,0,0,0,7,Computer
P20-s13,P20-s11,20,13,11,1,1,1,0,1,1,1,1,1,0,0,0,0,1,7,Computer
P20-s14,P20-s9,20,14,9,1,1,1,0,2,1,1,0,1,0,0,0,0,1,7,Computer
P20-s15,P20-s4,20,15,4,1,1,0,0,2,2,2,1,1,0,0,0,0,1,7,Computer
P20-s16,P20-s10,20,16,10,1,0,0,0,1,2,1,1,1,0,0,0,0,0,7,Computer
P20-s17,P20-s6,20,17,6,1,1,1,0,2,2,2,0,1,0,0,0,0,1,7,Computer
P20-s18,P20-s5,20,18,5,1,1,0,0,2,2,1,0,1,0,0,0,0,0,7,Computer
P20-s19,P20-s7,20,19,7,1,1,1,0,1,2,1,1,1,0,0,0,0,1,7,Computer
P20-s20,P20-s3,20,20,3,1,0,0,0,2,1,2,0,0,0,0,0,0,0,7,Computer
P20-s21,P20-s2,20,21,2,1,0,0,0,2,2,2,0,0,0,0,0,0,0,7,Computer
P20-s22,P20-s1,20,22,1,1,1,0,0,2,1,1,0,0,0,0,0,0,1,7,Computer

