Persubj,Perpart,Period,Subject,MyPartner,Agent,Theta,Applet,Inv,InvOther,Disclose,DiscOther,TypeOther,ThetaOther,ProbType,ProbBarrel,Outcome,Retain,myRetention,Session,TMT
P3-s15,P3-s4,3,15,4,0,1,0,1,0,2,2,0,0,0.2,0.3,2,0,0,7,Computer
P3-s16,P3-s7,3,16,7,0,0,0,1,0,2,2,0,0,0.2,0.3,2,0,0,7,Computer
P3-s17,P3-s10,3,17,10,0,1,0,1,0,1,2,0,0,0.2,0.3,3,1,0,7,Computer
P3-s18,P3-s9,3,18,9,0,1,1,2,0,2,1,0,0,0.4,0.4,1,0,0,7,Computer
P3-s19,P3-s5,3,19,5,0,1,0,2,0,1,2,0,0,0.8,0.2,1,0,0,7,Computer
P3-s20,P3-s3,3,20,3,0,0,0,2,0,2,1,1,1,0.4,0.4,2,1,0,7,Computer
P3-s21,P3-s6,3,21,6,0,1,0,1,0,2,2,1,1,0.2,0.3,3,0,0,7,Computer
P3-s22,P3-s11,3,22,11,0,0,0,2,0,1,2,0,0,0.8,0.2,1,0,0,7,Computer
P4-s1,P4-s18,4,1,18,0,0,0,2,0,1,1,0,1,0.4,0.4,3,1,0,7,Computer
P4-s2,P4-s13,4,2,13,0,0,0,1,0,2,2,0,0,0.2,0.3,3,1,0,7,Computer
P4-s3,P4-s16,4,3,16,0,1,1,2,0,2,1,1,0,0.4,0.4,1,1,0,7,Computer
P4-s4,P4-s22,4,4,22,0,1,1,2,0,2,2,1,1,0.8,0.2,1,1,0,7,Computer
P4-s5,P4-s12,4,5,12,0,0,0,2,0,1,2,0,0,0.8,0.2,1,0,0,7,Computer
P4-s6,P4-s14,4,6,14,0,0,1,2,0,1,2,1,1,0.8,0.2,1,1,0,7,Computer
P4-s7,P4-s20,4,7,20,0,0,0,2,0,2,2,0,0,0.8,0.2,1,1,0,7,Computer
P4-s8,P4-s21,4,8,21,0,0,0,2,0,1,2,1,1,0.8,0.2,1,1,0,7,Computer
P4-s9,P4-s15,4,9,15,0,1,0,2,0,1,2,1,1,0.8,0.2,2,1,0,7,Computer
P4-s10,P4-s17,4,10,17,0,0,0,2,0,1,2,0,0,0.8,0.2,1,0,0,7,Computer
P4-s11,P4-s19,4,11,19,0,0,0,2,0,1,2,1,1,0.8,0.2,1,1,0,7,Computer
P4-s12,P4-s5,4,12,5,1,0,0,0,2,2,1,0,0,0,0,0,0,0,7,Computer
P4-s13,P4-s2,4,13,2,1,0,0,0,1,2,2,0,0,0,0,0,0,1,7,Computer
P4-s14,P4-s6,4,14,6,1,1,1,0,2,2,1,1,0,0,0,0,0,1,7,Computer
P4-s15,P4-s9,4,15,9,1,1,1,0,2,2,1,0,1,0,0,0,0,1,7,Computer
P4-s16,P4-s3,4,16,3,1,0,1,0,2,1,2,1,1,0,0,0,0,1,7,Computer
P4-s17,P4-s10,4,17,10,1,0,0,0,2,2,1,0,0,0,0,0,0,0,7,Computer
P4-s18,P4-s1,4,18,1,1,1,0,0,2,1,1,0,0,0,0,0,0,1,7,Computer
P4-s19,P4-s11,4,19,11,1,1,1,0,2,2,1,0,0,0,0,0,0,1,7,Computer
P4-s20,P4-s7,4,20,7,1,0,0,0,2,2,2,0,0,0,0,0,0,1,7,Computer
P4-s21,P4-s8,4,21,8,1,1,1,0,2,2,1,0,0,0,0,0,0,1,7,Computer
P4-s22,P4-s4,4,22,4,1,1,1,0,2,2,2,1,1,0,0,0,0,1,7,Computer
P5-s1,P5-s12,5,1,12,1,1,1,0,2,2,1,0,1,0,0,0,0,1,7,Computer
P5-s2,P5-s13,5,2,13,1,1,0,0,1,2,1,0,1,0,0,0,0,1,7,Computer
P5-s3,P5-s16,5,3,16,1,1,0,0,2,1,2,0,0,0,0,0,0,1,7,Computer
P5-s4,P5-s19,5,4,19,1,0,0,0,2,2,1,0,1,0,0,0,0,0,7,Computer
P5-s5,P5-s21,5,5,21,1,0,0,0,1,2,1,0,1,0,0,0,0,1,7,Computer
P5-s6,P5-s15,5,6,15,1,1,1,0,2,2,1,0,0,0,0,0,0,1,7,Computer
P5-s7,P5-s22,5,7,22,1,1,1,0,2,2,1,1,0,0,0,0,0,1,7,Computer
P5-s8,P5-s20,5,8,20,1,0,0,0,2,1,2,0,1,0,0,0,0,0,7,Computer
P5-s9,P5-s17,5,9,17,1,0,0,0,1,2,1,0,0,0,0,0,0,1,7,Computer
P5-s10,P5-s14,5,10,14,1,0,0,0,2,2,2,1,1,0,0,0,0,0,7,Computer
P5-s11,P5-s18,5,11,18,1,0,0,0,2,2,2,0,0,0,0,0,0,0,7,Computer
P5-s12,P5-s1,5,12,1,0,1,0,2,0,1,2,1,1,0.8,0.2,2,1,0,7,Computer
P5-s13,P5-s2,5,13,2,0,1,0,1,0,1,2,0,1,0.2,0.3,2,1,0,7,Computer
P5-s14,P5-s10,5,14,10,0,1,1,2,0,2,2,0,0,0.8,0.2,1,0,0,7,Computer
P5-s15,P5-s6,5,15,6,0,0,0,2,0,1,2,1,1,0.8,0.2,1,1,0,7,Computer
P5-s16,P5-s3,5,16,3,0,0,0,2,0,2,1,0,1,0.4,0.4,2,1,0,7,Computer
P5-s17,P5-s9,5,17,9,0,0,0,1,0,1,2,0,0,0.2,0.3,3,1,0,7,Computer
P5-s18,P5-s11,5,18,11,0,0,0,2,0,2,2,0,0,0.8,0.2,1,0,0,7,Computer
P5-s19,P5-s4,5,19,4,0,1,0,2,0,1,2,0,0,0.8,0.2,1,0,0,7,Computer
P5-s20,P5-s8,5,20,8,0,1,0,2,0,2,1,0,0,0.4,0.4,1,0,0,7,Computer
P5-s21,P5-s5,5,21,5,0,1,0,1,0,1,2,0,0,0.2,0.3,2,1,0,7,Computer
P5-s22,P5-s7,5,22,7,0,0,1,2,0,1,2,1,1,0.8,0.2,1,1,0,7,Computer
P6-s1,P6-s22,6,1,22,0,1,1,2,0,2,1,0,1,0.4,0.4,2,1,0,7,Computer
P6-s2,P6-s14,6,2,14,0,1,0,1,0,2,1,0,0,0.1,0.2,3,1,0,7,Computer
P6-s3,P6-s17,6,3,17,0,1,0,2,0,2,2,0,0,0.8,0.2,1,0,0,7,Computer
P6-s4,P6-s15,6,4,15,0,1,1,2,0,1,2,1,0,0.8,0.2,1,1,0,7,Computer
P6-s5,P6-s21,6,5,21,0,0,0,2,0,1,2,0,0,0.8,0.2,2,0,0,7,Computer
P6-s6,P6-s20,6,6,20,0,1,1,2,0,1,2,0,0,0.8,0.2,1,0,0,7,Computer
P6-s7,P6-s18,6,7,18,0,0,0,1,0,1,2,0,0,0.2,0.3,3,0,0,7,Computer
P6-s8,P6-s16,6,8,16,0,1,0,2,0,1,1,0,0,0.4,0.4,1,0,0,7,Computer
P6-s9,P6-s12,6,9,12,0,0,0,2,0,1,2,0,1,0.8,0.2,1,0,0,7,Computer
P6-s10,P6-s19,6,10,19,0,0,0,2,0,1,1,0,0,0.4,0.4,2,0,0,7,Computer
P6-s11,P6-s13,6,11,13,0,0,0,2,0,2,2,1,1,0.8,0.2,1,1,0,7,Computer
P6-s12,P6-s9,6,12,9,1,1,0,0,2,2,1,0,0,0,0,0,0,0,7,Computer
P6-s13,P6-s11,6,13,11,1,1,1,0,2,2,2,0,0,0,0,0,0,1,7,Computer
P6-s14,P6-s2,6,14,2,1,0,0,0,1,1,2,0,1,0,0,0,0,1,7,Computer
P6-s15,P6-s4,6,15,4,1,0,1,0,2,2,1,1,1,0,0,0,0,1,7,Computer
P6-s16,P6-s8,6,16,8,1,0,0,0,2,1,1,0,1,0,0,0,0,0,7,Computer
P6-s17,P6-s3,6,17,3,1,0,0,0,2,2,2,0,1,0,0,0,0,0,7,Computer
P6-s18,P6-s7,6,18,7,1,0,0,0,1,2,1,0,0,0,0,0,0,0,7,Computer
P6-s19,P6-s10,6,19,10,1,0,0,0,2,1,1,0,0,0,0,0,0,0,7,Computer
P6-s20,P6-s6,6,20,6,1,0,0,0,2,2,1,1,1,0,0,0,0,0,7,Computer
P6-s21,P6-s5,6,21,5,1,0,0,0,2,2,1,0,0,0,0,0,0,0,7,Computer
P6-s22,P6-s1,6,22,1,1,1,0,0,2,1,2,1,1,0,0,0,0,1,7,Computer
P7-s1,P7-s15,7,1,15,1,1,1,0,2,1,2,0,1,0,0,0,0,1,7,Computer
P7-s2,P7-s16,7,2,16,1,0,0,0,1,2,1,1,1,0,0,0,0,0,7,Computer
P7-s3,P7-s20,7,3,20,1,1,1,0,2,1,1,0,0,0,0,0,0,1,7,Computer
P7-s4,P7-s22,7,4,22,1,0,0,0,2,2,2,0,1,0,0,0,0,0,7,Computer
P7-s5,P7-s21,7,5,21,1,1,0,0,2,1,1,0,0,0,0,0,0,1,7,Computer
P7-s6,P7-s14,7,6,14,1,1,0,0,2,2,2,0,1,0,0,0,0,0,7,Computer
P7-s7,P7-s19,7,7,19,1,0,0,0,2,2,2,0,1,0,0,0,0,0,7,Computer
P7-s8,P7-s12,7,8,12,1,0,0,0,2,2,2,0,0,0,0,0,0,0,7,Computer
P7-s9,P7-s18,7,9,18,1,0,0,0,2,2,1,0,0,0,0,0,0,0,7,Computer
P7-s10,P7-s13,7,10,13,1,0,0,0,2,2,2,0,0,0,0,0,0,0,7,Computer
P7-s11,P7-s17,7,11,17,1,0,0,0,1,2,1,1,1,0,0,0,0,1,7,Computer
P7-s12,P7-s8,7,12,8,0,0,0,2,0,2,2,0,0,0.8,0.2,1,0,0,7,Computer
P7-s13,P7-s10,7,13,10,0,0,0,2,0,2,2,0,0,0.8,0.2,2,0,0,7,Computer
P7-s14,P7-s6,7,14,6,0,1,0,2,0,2,2,0,1,0.8,0.2,1,0,0,7,Computer
P7-s15,P7-s1,7,15,1,0,1,0,2,0,2,1,1,1,0.4,0.4,2,1,0,7,Computer
P7-s16,P7-s2,7,16,2,0,1,1,1,0,1,2,0,0,0.2,0.3,3,0,0,7,Computer
P7-s17,P7-s11,7,17,11,0,1,1,1,0,1,2,0,0,0.2,0.3,2,1,0,7,Computer
P7-s18,P7-s9,7,18,9,0,0,0,2,0,1,2,0,0,0.8,0.2,2,0,0,7,Computer
P7-s19,P7-s7,7,19,7,0,1,0,2,0,2,2,0,0,0.8,0.2,1,0,0,7,Computer
P7-s20,P7-s3,7,20,3,0,0,0,2,0,1,1,1,1,0.4,0.4,1,1,0,7,Computer
P7-s21,P7-s5,7,21,5,0,0,0,2,0,1,1,0,1,0.4,0.4,2,1,0,7,Computer
P7-s22,P7-s4,7,22,4,0,1,0,2,0,2,2,0,0,0.8,0.2,1,0,0,7,Computer
P8-s1,P8-s19,8,1,19,0,0,0,2,0,1,1,0,0,0.4,0.4,3,1,0,7,Computer
P8-s2,P8-s22,8,2,22,0,0,0,2,0,2,2,1,1,0.8,0.2,1,1,0,7,Computer
P8-s3,P8-s14,8,3,14,0,1,1,2,0,2,1,0,0,0.4,0.4,1,0,0,7,Computer
P8-s4,P8-s20,8,4,20,0,0,0,2,0,1,2,0,1,0.8,0.2,1,0,0,7,Computer
P8-s5,P8-s13,8,5,13,0,0,1,1,0,1,1,0,1,0.1,0.2,3,0,0,7,Computer
P8-s6,P8-s12,8,6,12,0,0,0,2,0,1,1,0,0,0.4,0.4,2,0,0,7,Computer
P8-s7,P8-s15,8,7,15,0,0,1,2,0,1,1,0,0,0.4,0.4,1,1,0,7,Computer
P8-s8,P8-s17,8,8,17,0,0,0,2,0,2,2,0,0,0.8,0.2,2,0,0,7,Computer
P8-s9,P8-s16,8,9,16,0,0,0,2,0,2,2,0,0,0.8,0.2,1,0,0,7,Computer
P8-s10,P8-s21,8,10,21,0,1,0,2,0,2,2,1,1,0.8,0.2,1,1,0,7,Computer
P8-s11,P8-s18,8,11,18,0,1,0,2,0,1,2,1,1,0.8,0.2,1,1,0,7,Computer
P8-s12,P8-s6,8,12,6,1,0,0,0,2,1,1,0,0,0,0,0,0,0,7,Computer
P8-s13,P8-s5,8,13,5,1,1,0,0,1,1,1,1,0,0,0,0,0,0,7,Computer
P8-s14,P8-s3,8,14,3,1,0,0,0,2,1,2,1,1,0,0,0,0,0,7,Computer
P8-s15,P8-s7,8,15,7,1,0,0,0,2,1,1,1,0,0,0,0,0,1,7,Computer
P8-s16,P8-s9,8,16,9,1,0,0,0,2,2,2,0,0,0,0,0,0,0,7,Computer
P8-s17,P8-s8,8,17,8,1,0,0,0,2,2,2,0,0,0,0,0,0,0,7,Computer
P8-s18,P8-s11,8,18,11,1,1,1,0,2,2,1,0,1,0,0,0,0,1,7,Computer
P8-s19,P8-s1,8,19,1,1,0,0,0,2,1,1,0,0,0,0,0,0,1,7,Computer
P8-s20,P8-s4,8,20,4,1,1,0,0,2,2,1,0,0,0,0,0,0,0,7,Computer
