Persubj,Perpart,Period,Subject,MyPartner,Agent,Theta,Applet,Inv,InvOther,Disclose,DiscOther,TypeOther,ThetaOther,ProbType,ProbBarrel,Outcome,Retain,myRetention
P1-s1,P1-s17,1,1,17,1,1,0,0,2,2,1,0,1,0,0,0,0,1
P1-s2,P1-s11,1,2,11,1,1,1,0,2,2,2,1,1,0,0,0,0,1
P1-s3,P1-s10,1,3,10,1,1,0,0,1,1,1,1,1,0,0,0,0,1
P1-s4,P1-s12,1,4,12,1,1,0,0,1,1,1,0,1,0,0,0,0,1
P1-s5,P1-s16,1,5,16,1,1,1,0,2,1,1,1,1,0,0,0,0,1
P1-s6,P1-s13,1,6,13,1,1,0,0,2,2,2,0,1,0,0,0,0,0
P1-s7,P1-s15,1,7,15,1,0,0,0,2,2,1,0,0,0,0,0,0,0
P1-s8,P1-s18,1,8,18,1,0,1,0,2,1,1,0,0,0,0,0,0,1
P1-s9,P1-s14,1,9,14,1,1,1,0,2,2,2,0,0,0,0,0,0,1
P1-s10,P1-s3,1,10,3,0,1,1,1,0,1,1,0,1,0.1,0.2,3,1,0
P1-s11,P1-s2,1,11,2,0,1,1,2,0,2,2,1,1,0.8,0.2,1,1,0
P1-s12,P1-s4,1,12,4,0,1,0,1,0,1,1,0,1,0.1,0.2,2,1,0
P1-s13,P1-s6,1,13,6,0,1,0,2,0,2,2,0,1,0.8,0.2,1,0,0
P1-s14,P1-s9,1,14,9,0,0,0,2,0,2,2,1,1,0.8,0.2,1,1,0
P1-s15,P1-s7,1,15,7,0,0,0,2,0,1,2,0,0,0.8,0.2,1,0,0
P1-s16,P1-s5,1,16,5,0,1,1,2,0,1,1,1,1,0.4,0.4,1,1,0
P1-s17,P1-s1,1,17,1,0,1,0,2,0,1,2,0,1,0.8,0.2,2,1,0
P1-s18,P1-s8,1,18,8,0,0,0,2,0,1,1,1,0,0.4,0.4,1,1,0
P2-s1,P2-s17,2,1,17,0,1,0,2,0,2,2,0,1,0.8,0.2,1,0,0
P2-s2,P2-s16,2,2,16,0,0,0,2,0,2,2,0,1,0.8,0.2,1,0,0
P2-s3,P2-s15,2,3,15,0,1,0,2,0,1,2,0,1,0.8,0.2,1,1,0
P2-s4,P2-s11,2,4,11,0,0,0,2,0,2,1,0,0,0.4,0.4,1,0,0
P2-s5,P2-s10,2,5,10,0,1,1,2,0,2,1,0,1,0.4,0.4,3,1,0
P2-s6,P2-s14,2,6,14,0,0,0,1,0,1,1,0,0,0.1,0.2,2,0,0
P2-s7,P2-s12,2,7,12,0,1,1,1,0,2,1,0,1,0.1,0.2,3,1,0
P2-s8,P2-s13,2,8,13,0,1,1,1,0,2,2,1,1,0.2,0.3,2,1,0
P2-s9,P2-s18,2,9,18,0,1,1,2,0,1,1,0,0,0.4,0.4,1,0,0
P2-s10,P2-s5,2,10,5,1,1,0,0,2,1,2,1,1,0,0,0,0,1
P2-s11,P2-s4,2,11,4,1,0,0,0,2,1,2,0,0,0,0,0,0,0
P2-s12,P2-s7,2,12,7,1,1,0,0,1,1,2,1,1,0,0,0,0,1
P2-s13,P2-s8,2,13,8,1,1,1,0,1,2,2,1,1,0,0,0,0,1
