Persubj,Perpart,Period,Subject,MyPartner,Agent,Theta,Applet,Inv,Disclose,ProbType,ProbBarrel,Outcome,Retain,myRetention,Session
P17-s10,P17-s17,17,10,17,1,1,0,0,1,0,0,0,0,1,5
P17-s11,P17-s18,17,11,18,1,0,0,0,1,0,0,0,0,0,5
P17-s12,P17-s16,17,12,16,1,0,0,0,2,0,0,0,0,0,5
P17-s13,P17-s8,17,13,8,0,1,1,2,0,0.4,0.4,2,1,0,5
P17-s14,P17-s3,17,14,3,0,1,1,2,0,0.4,0.4,2,1,0,5
P17-s15,P17-s4,17,15,4,0,0,0,1,0,0.1,0.2,3,0,0,5
P17-s16,P17-s12,17,16,12,0,0,0,2,0,0.8,0.2,1,0,0,5
P17-s17,P17-s10,17,17,10,0,1,0,2,0,0.4,0.4,2,1,0,5
P17-s18,P17-s11,17,18,11,0,0,0,2,0,0.4,0.4,3,0,0,5
P17-s19,P17-s7,17,19,7,0,0,0,2,0,0.4,0.4,1,0,0,5
P17-s20,P17-s9,17,20,9,0,0,0,1,0,0.2,0.3,1,1,0,5
P17-s21,P17-s5,17,21,5,0,1,0,2,0,0.4,0.4,3,0,0,5
P17-s22,P17-s6,17,22,6,0,0,0,2,0,0.4,0.4,3,1,0,5
P17-s23,P17-s2,17,23,2,0,0,0,2,0,0.8,0.2,1,1,0,5
P17-s24,P17-s1,17,24,1,0,1,0,1,0,0.1,0.2,3,1,0,5
P18-s1,P18-s13,18,1,13,0,0,0,2,0,0.8,0.2,1,1,0,5
P18-s2,P18-s14,18,2,14,0,0,0,2,0,0.8,0.2,1,1,0,5
P18-s3,P18-s17,18,3,17,0,1,1,1,0,0.1,0.2,2,1,0,5
P18-s4,P18-s21,18,4,21,0,0,0,2,0,0.4,0.4,1,0,0,5
P18-s5,P18-s19,18,5,19,0,0,0,2,0,0.4,0.4,1,0,0,5
P18-s6,P18-s24,18,6,24,0,1,0,2,0,0.8,0.2,2,0,0,5
P18-s7,P18-s20,18,7,20,0,0,0,2,0,0.8,0.2,1,0,0,5
P18-s8,P18-s18,18,8,18,0,1,1,2,0,0.8,0.2,1,1,0,5
P18-s9,P18-s16,18,9,16,0,0,0,2,0,0.4,0.4,1,0,0,5
P18-s10,P18-s23,18,10,23,0,0,0,2,0,0.4,0.4,1,0,0,5
P18-s11,P18-s15,18,11,15,0,0,0,2,0,0.4,0.4,1,0,0,5
P18-s12,P18-s22,18,12,22,0,1,0,2,0,0.4,0.4,2,1,0,5
P18-s13,P18-s1,18,13,1,1,1,1,0,2,0,0,0,0,1,5
P18-s14,P18-s2,18,14,2,1,1,1,0,2,0,0,0,0,1,5
P18-s15,P18-s11,18,15,11,1,0,0,0,1,0,0,0,0,0,5
P18-s16,P18-s9,18,16,9,1,0,0,0,1,0,0,0,0,0,5
P18-s17,P18-s3,18,17,3,1,0,0,0,1,0,0,0,0,1,5
P18-s18,P18-s8,18,18,8,1,1,1,0,2,0,0,0,0,1,5
P18-s19,P18-s5,18,19,5,1,0,0,0,1,0,0,0,0,0,5
P18-s20,P18-s7,18,20,7,1,0,0,0,2,0,0,0,0,0,5
P18-s21,P18-s4,18,21,4,1,0,0,0,1,0,0,0,0,0,5
P18-s22,P18-s12,18,22,12,1,1,0,0,1,0,0,0,0,1,5
P18-s23,P18-s10,18,23,10,1,0,0,0,1,0,0,0,0,0,5
P18-s24,P18-s6,18,24,6,1,1,0,0,2,0,0,0,0,0,5
P19-s1,P19-s23,19,1,23,1,1,1,0,2,0,0,0,0,1,5
P19-s2,P19-s24,19,2,24,1,0,0,0,1,0,0,0,0,0,5
P19-s3,P19-s20,19,3,20,1,1,0,0,1,0,0,0,0,1,5
P19-s4,P19-s18,19,4,18,1,0,0,0,1,0,0,0,0,0,5
P19-s5,P19-s16,19,5,16,1,0,0,0,1,0,0,0,0,0,5
P19-s6,P19-s21,19,6,21,1,1,1,0,2,0,0,0,0,1,5
P19-s7,P19-s22,19,7,22,1,1,0,0,1,0,0,0,0,1,5
P19-s8,P19-s19,19,8,19,1,1,0,0,1,0,0,0,0,0,5
P19-s9,P19-s14,19,9,14,1,1,1,0,2,0,0,0,0,1,5
P19-s10,P19-s17,19,10,17,1,1,1,0,2,0,0,0,0,1,5
P19-s11,P19-s15,19,11,15,1,1,1,0,2,0,0,0,0,1,5
P19-s12,P19-s13,19,12,13,1,0,0,0,1,0,0,0,0,0,5
P19-s13,P19-s12,19,13,12,0,0,0,2,0,0.4,0.4,2,0,0,5
P19-s14,P19-s9,19,14,9,0,0,0,2,0,0.8,0.2,1,1,0,5
P19-s15,P19-s11,19,15,11,0,1,1,1,0,0.2,0.3,1,1,0,5
P19-s16,P19-s5,19,16,5,0,1,0,2,0,0.4,0.4,1,0,0,5
P19-s17,P19-s10,19,17,10,0,1,0,2,0,0.8,0.2,2,1,0,5
P19-s18,P19-s4,19,18,4,0,0,0,2,0,0.4,0.4,2,0,0,5
P19-s19,P19-s8,19,19,8,0,1,1,2,0,0.4,0.4,1,0,0,5
P19-s20,P19-s3,19,20,3,0,1,1,1,0,0.1,0.2,2,1,0,5
P19-s21,P19-s6,19,21,6,0,0,0,2,0,0.8,0.2,1,1,0,5
P19-s22,P19-s7,19,22,7,0,1,0,2,0,0.4,0.4,3,1,0,5
P19-s23,P19-s1,19,23,1,0,1,0,2,0,0.8,0.2,2,1,0,5
P19-s24,P19-s2,19,24,2,0,1,1,2,0,0.4,0.4,1,0,0,5
P20-s1,P20-s15,20,1,15,0,0,0,2,0,0.8,0.2,2,1,0,5
P20-s2,P20-s23,20,2,23,0,0,0,2,0,0.4,0.4,1,0,0,5
P20-s3,P20-s21,20,3,21,0,1,0,2,0,0.8,0.2,1,1,0,5
P20-s4,P20-s16,20,4,16,0,1,0,2,0,0.4,0.4,2,1,0,5
P20-s5,P20-s19,20,5,19,0,1,0,2,0,0.4,0.4,3,0,0,5
P20-s6,P20-s13,20,6,13,0,1,1,2,0,0.4,0.4,1,0,0,5
P20-s7,P20-s14,20,7,14,0,0,0,2,0,0.4,0.4,1,0,0,5
P20-s8,P20-s20,20,8,20,0,1,0,2,0,0.4,0.4,1,0,0,5
P20-s9,P20-s18,20,9,18,0,0,0,2,0,0.4,0.4,2,0,0,5
P20-s10,P20-s24,20,10,24,0,1,1,2,0,0.4,0.4,3,0,0,5
P20-s11,P20-s17,20,11,17,0,1,1,2,0,0.4,0.4,3,0,0,5
P20-s12,P20-s22,20,12,22,0,0,0,1,0,0.2,0.3,1,0,0,5
P20-s13,P20-s6,20,13,6,1,0,0,0,1,0,0,0,0,0,5
P20-s14,P20-s7,20,14,7,1,1,0,0,1,0,0,0,0,0,5
P20-s15,P20-s1,20,15,1,1,1,1,0,2,0,0,0,0,1,5
P20-s16,P20-s4,20,16,4,1,1,0,0,1,0,0,0,0,1,5
P20-s17,P20-s11,20,17,11,1,0,0,0,1,0,0,0,0,0,5
P20-s18,P20-s9,20,18,9,1,1,0,0,1,0,0,0,0,0,5
P20-s19,P20-s5,20,19,5,1,0,0,0,1,0,0,0,0,0,5
P20-s20,P20-s8,20,20,8,1,1,0,0,1,0,0,0,0,0,5
P20-s21,P20-s3,20,21,3,1,1,1,0,2,0,0,0,0,1,5
P20-s22,P20-s12,20,22,12,1,0,0,0,2,0,0,0,0,0,5
P20-s23,P20-s2,20,23,2,1,0,0,0,1,0,0,0,0,0,5
P20-s24,P20-s10,20,24,10,1,0,0,0,1,0,0,0,0,0,5
