Persubj,Perpart,Period,Subject,MyPartner,Agent,Theta,Applet,Inv,InvOther,Disclose,DiscOther,TypeOther,ThetaOther,ProbType,ProbBarrel,Outcome,Retain,myRetention
P1-s1,P1-s15,1,1,15,1,1,1,0,1,2,0,-1,-1,0,0,0,0,1
P1-s2,P1-s12,1,2,12,1,0,0,0,1,2,0,-1,-1,0,0,0,0,0
P1-s3,P1-s16,1,3,16,1,1,0,0,2,1,0,-1,-1,0,0,0,0,0
P1-s4,P1-s17,1,4,17,1,1,0,0,2,2,0,-1,-1,0,0,0,0,0
P1-s5,P1-s19,1,5,19,1,1,0,0,2,2,0,-1,-1,0,0,0,0,0
P1-s6,P1-s18,1,6,18,1,0,0,0,2,2,0,-1,-1,0,0,0,0,0
P1-s7,P1-s13,1,7,13,1,0,0,0,2,1,0,-1,-1,0,0,0,0,1
P1-s8,P1-s11,1,8,11,1,0,0,0,1,1,0,-1,-1,0,0,0,0,0
P1-s9,P1-s14,1,9,14,1,0,0,0,1,2,0,-1,-1,0,0,0,0,0
P1-s10,P1-s20,1,10,20,1,1,1,0,1,2,0,-1,-1,0,0,0,0,1
P1-s11,P1-s8,1,11,8,0,-1,-1,1,0,0,1,0,0,0.1,0.2,3,0,0
P1-s12,P1-s2,1,12,2,0,-1,-1,1,0,0,2,0,0,0.2,0.3,3,0,0
P1-s13,P1-s7,1,13,7,0,-1,-1,2,0,0,1,0,0,0.4,0.4,3,1,0
P1-s14,P1-s9,1,14,9,0,-1,-1,1,0,0,2,0,0,0.2,0.3,3,0,0
P1-s15,P1-s1,1,15,1,0,-1,-1,1,0,0,2,1,1,0.2,0.3,1,1,0
P1-s16,P1-s3,1,16,3,0,-1,-1,2,0,0,1,0,1,0.4,0.4,1,0,0
P1-s17,P1-s4,1,17,4,0,-1,-1,2,0,0,2,0,1,0.8,0.2,1,0,0
P1-s18,P1-s6,1,18,6,0,-1,-1,2,0,0,2,0,0,0.8,0.2,1,0,0
P1-s19,P1-s5,1,19,5,0,-1,-1,2,0,0,2,0,1,0.8,0.2,1,0,0
P1-s20,P1-s10,1,20,10,0,-1,-1,1,0,0,2,1,1,0.2,0.3,1,1,0
P2-s1,P2-s11,2,1,11,0,-1,-1,2,0,0,1,0,1,0.4,0.4,3,0,0
P2-s2,P2-s17,2,2,17,0,-1,-1,2,0,0,1,0,0,0.4,0.4,1,0,0
P2-s3,P2-s20,2,3,20,0,-1,-1,2,0,0,2,1,1,0.8,0.2,1,1,0
P2-s4,P2-s19,2,4,19,0,-1,-1,1,0,0,2,0,1,0.2,0.3,2,1,0
P2-s5,P2-s13,2,5,13,0,-1,-1,2,0,0,2,1,1,0.8,0.2,1,1,0
P2-s6,P2-s12,2,6,12,0,-1,-1,2,0,0,2,1,1,0.8,0.2,1,1,0
P2-s7,P2-s15,2,7,15,0,-1,-1,1,0,0,1,0,1,0.1,0.2,3,1,0
P2-s8,P2-s16,2,8,16,0,-1,-1,2,0,0,2,1,1,0.8,0.2,1,1,0
