Persubj,Perpart,Period,Subject,MyPartner,Agent,Theta,Applet,Inv,InvOther,Disclose,DiscOther,TypeOther,ThetaOther,ProbType,ProbBarrel,Outcome,Retain,myRetention
P5-s3,P5-s16,5,3,16,1,0,0,0,2,1,0,0,0,0,0,0,0,1
P5-s4,P5-s13,5,4,13,1,1,1,0,2,2,0,1,1,0,0,0,0,1
P5-s5,P5-s10,5,5,10,1,1,0,0,2,1,0,0,0,0,0,0,0,0
P5-s6,P5-s12,5,6,12,1,1,0,0,1,1,0,0,0,0,0,0,0,1
P5-s7,P5-s11,5,7,11,1,1,0,0,1,2,0,1,1,0,0,0,0,1
P5-s8,P5-s15,5,8,15,1,1,0,0,1,2,0,1,1,0,0,0,0,0
P5-s9,P5-s2,5,9,2,0,0,0,2,0,0,2,0,1,0.8,0.2,1,1,0
P5-s10,P5-s5,5,10,5,0,0,0,2,0,0,1,0,1,0.4,0.4,1,0,0
P5-s11,P5-s7,5,11,7,0,1,1,1,0,0,2,0,1,0.2,0.3,2,1,0
P5-s12,P5-s6,5,12,6,0,0,0,1,0,0,1,0,1,0.1,0.2,3,1,0
P5-s13,P5-s4,5,13,4,0,1,1,2,0,0,2,1,1,0.8,0.2,1,1,0
P5-s14,P5-s1,5,14,1,0,1,1,1,0,0,1,0,0,0.1,0.2,1,1,0
P5-s15,P5-s8,5,15,8,0,1,1,1,0,0,2,0,1,0.2,0.3,3,0,0
P5-s16,P5-s3,5,16,3,0,0,0,2,0,0,1,0,0,0.4,0.4,2,1,0
P6-s1,P6-s16,6,1,16,0,1,0,2,0,0,1,1,1,0.4,0.4,2,1,0
P6-s2,P6-s15,6,2,15,0,0,0,2,0,0,1,0,0,0.4,0.4,1,0,0
P6-s3,P6-s11,6,3,11,0,1,1,1,0,0,2,0,1,0.2,0.3,3,1,0
P6-s4,P6-s12,6,4,12,0,0,0,2,0,0,1,0,0,0.4,0.4,1,0,0
P6-s5,P6-s14,6,5,14,0,1,0,2,0,0,2,1,1,0.8,0.2,1,1,0
P6-s6,P6-s10,6,6,10,0,0,0,2,0,0,1,0,0,0.4,0.4,2,0,0
P6-s7,P6-s9,6,7,9,0,0,0,2,0,0,2,1,1,0.8,0.2,1,1,0
P6-s8,P6-s13,6,8,13,0,1,0,2,0,0,2,1,1,0.8,0.2,1,1,0
P6-s9,P6-s7,6,9,7,1,1,1,0,2,2,0,0,0,0,0,0,0,1
P6-s10,P6-s6,6,10,6,1,0,0,0,2,1,0,0,0,0,0,0,0,0
P6-s11,P6-s3,6,11,3,1,1,0,0,1,2,0,1,1,0,0,0,0,1
P6-s12,P6-s4,6,12,4,1,0,0,0,2,1,0,0,0,0,0,0,0,0
P6-s13,P6-s8,6,13,8,1,1,1,0,2,2,0,0,1,0,0,0,0,1
P6-s14,P6-s5,6,14,5,1,1,1,0,2,2,0,0,1,0,0,0,0,1
P6-s15,P6-s2,6,15,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0
P6-s16,P6-s1,6,16,1,1,1,1,0,2,1,0,0,1,0,0,0,0,1
P7-s1,P7-s13,7,1,13,1,0,0,0,2,1,0,0,0,0,0,0,0,0
P7-s2,P7-s12,7,2,12,1,1,1,0,2,2,0,1,1,0,0,0,0,1
P7-s3,P7-s16,7,3,16,1,0,0,0,2,1,0,0,0,0,0,0,0,1
P7-s4,P7-s10,7,4,10,1,0,0,0,1,2,0,0,0,0,0,0,0,1
P7-s5,P7-s9,7,5,9,1,0,0,0,2,1,0,0,1,0,0,0,0,1
P7-s6,P7-s14,7,6,14,1,0,0,0,1,1,0,0,0,0,0,0,0,0
P7-s7,P7-s11,7,7,11,1,0,0,0,2,2,0,0,0,0,0,0,0,0
P7-s8,P7-s15,7,8,15,1,1,0,0,1,2,0,0,1,0,0,0,0,0
P7-s9,P7-s5,7,9,5,0,1,0,2,0,0,1,0,0,0.4,0.4,3,1,0
P7-s10,P7-s4,7,10,4,0,0,0,1,0,0,2,0,0,0.2,0.3,2,1,0
P7-s11,P7-s7,7,11,7,0,0,0,2,0,0,2,0,0,0.8,0.2,1,0,0
P7-s12,P7-s2,7,12,2,0,1,1,2,0,0,2,1,1,0.8,0.2,2,1,0
P7-s13,P7-s1,7,13,1,0,0,0,2,0,0,1,0,0,0.4,0.4,2,0,0
