Persubj,Perpart,Period,Subject,MyPartner,Agent,Theta,Applet,Inv,InvOther,Disclose,DiscOther,TypeOther,ThetaOther,ProbType,ProbBarrel,Outcome,Retain,myRetention
P18-s12,P18-s2,18,12,2,1,1,0,0,2,1,0,1,1,0,0,0,0,0
P18-s13,P18-s8,18,13,8,1,0,1,0,2,2,0,1,1,0,0,0,0,0
P18-s14,P18-s3,18,14,3,1,1,1,0,2,2,0,0,0,0,0,0,0,0
P18-s15,P18-s7,18,15,7,1,0,0,0,2,1,0,1,0,0,0,0,0,0
P18-s16,P18-s4,18,16,4,1,1,0,0,2,2,0,0,0,0,0,0,0,1
P19-s1,P19-s16,19,1,16,1,1,0,0,2,1,0,0,0,0,0,0,0,1
P19-s2,P19-s9,19,2,9,1,1,1,0,2,2,0,1,1,0,0,0,0,1
P19-s3,P19-s15,19,3,15,1,0,0,0,1,1,0,1,1,0,0,0,0,0
P19-s4,P19-s14,19,4,14,1,0,0,0,1,2,0,1,1,0,0,0,0,0
P19-s5,P19-s10,19,5,10,1,0,0,0,1,1,0,0,0,0,0,0,0,1
P19-s6,P19-s12,19,6,12,1,0,0,0,2,1,0,0,0,0,0,0,0,1
P19-s7,P19-s13,19,7,13,1,0,0,0,2,1,0,0,1,0,0,0,0,0
P19-s8,P19-s11,19,8,11,1,1,0,0,2,1,0,1,1,0,0,0,0,0
P19-s9,P19-s2,19,9,2,0,1,1,2,0,0,2,1,1,0.8,0.2,1,1,0
P19-s10,P19-s5,19,10,5,0,0,0,1,0,0,1,0,0,0.1,0.2,3,1,0
P19-s11,P19-s8,19,11,8,0,1,1,2,0,0,1,0,1,0.4,0.4,1,0,0
P19-s12,P19-s6,19,12,6,0,0,0,2,0,0,1,0,0,0.4,0.4,2,1,0
P19-s13,P19-s7,19,13,7,0,1,0,2,0,0,1,0,0,0.4,0.4,2,0,0
P19-s14,P19-s4,19,14,4,0,1,1,1,0,0,2,0,0,0.2,0.3,1,0,0
P19-s15,P19-s3,19,15,3,0,1,1,1,0,0,1,0,0,0.1,0.2,2,0,0
P19-s16,P19-s1,19,16,1,0,0,0,2,0,0,1,0,1,0.4,0.4,2,1,0
P20-s1,P20-s14,20,1,14,0,1,0,2,0,0,2,0,0,0.8,0.2,1,0,0
P20-s2,P20-s10,20,2,10,0,1,0,2,0,0,1,0,0,0.4,0.4,1,0,0
P20-s3,P20-s12,20,3,12,0,1,1,2,0,0,1,0,0,0.4,0.4,1,0,0
P20-s4,P20-s16,20,4,16,0,1,1,2,0,0,2,0,0,0.8,0.2,1,0,0
P20-s5,P20-s9,20,5,9,0,0,0,2,0,0,2,0,0,0.8,0.2,1,0,0
P20-s6,P20-s13,20,6,13,0,1,0,2,0,0,1,0,0,0.4,0.4,2,0,0
P20-s7,P20-s11,20,7,11,0,0,0,2,0,0,2,1,1,0.8,0.2,2,1,0
P20-s8,P20-s15,20,8,15,0,0,0,2,0,0,1,0,0,0.4,0.4,2,0,0
P20-s9,P20-s5,20,9,5,1,0,0,0,2,2,0,0,0,0,0,0,0,0
P20-s10,P20-s2,20,10,2,1,0,0,0,2,1,0,0,1,0,0,0,0,0
P20-s11,P20-s7,20,11,7,1,1,1,0,2,2,0,0,0,0,0,0,0,1
P20-s12,P20-s3,20,12,3,1,0,0,0,2,1,0,1,1,0,0,0,0,0
P20-s13,P20-s6,20,13,6,1,0,0,0,2,1,0,0,1,0,0,0,0,0
P20-s14,P20-s1,20,14,1,1,0,0,0,2,2,0,0,1,0,0,0,0,0
P20-s15,P20-s8,20,15,8,1,0,0,0,2,1,0,0,0,0,0,0,0,0
P20-s16,P20-s4,20,16,4,1,0,0,0,2,2,0,1,1,0,0,0,0,0

